Execucao,Custo,Tempo_s
1,462,0.271593
2,490,0.26867
3,497,0.250569
4,488,0.23899
5,499,0.247729
6,482,0.253066
7,496,0.270104
8,494,0.256308
9,481,0.259133
10,484,0.240359
