Execucao,Valor,Tempo_s
1,9147,0.00381562
2,9147,0.00378049
3,9147,0.00409864
4,9147,0.00404448
5,9147,0.00400377
6,9147,0.0037935
7,9147,0.00400889
8,9147,0.00393109
9,9147,0.00377137
10,8990,0.00396255
