Execucao,Custo,Tempo_s
1,458,0.168347
2,450,0.175356
3,457,0.168924
4,443,0.170466
5,464,0.167669
6,468,0.167505
7,468,0.169044
8,466,0.169752
9,440,0.166738
10,461,0.167301
