Execucao,Valor,Tempo_s
1,8897,0.0564266
2,8940,0.055914
3,8929,0.056629
4,8990,0.0571611
5,8900,0.0579651
6,8929,0.0559786
7,8990,0.0575389
8,9147,0.0565125
9,8940,0.0573341
10,9147,0.0574563
