Execucao,Valor,Tempo_s
1,9147,0.00197555
2,9147,0.00145098
3,9147,0.0014788
4,9147,0.00144965
5,9147,0.00146717
6,9147,0.00147055
7,9147,0.00150817
8,9147,0.00147058
9,9147,0.00166758
10,9147,0.00164285
