Execucao,Custo,Tempo_s
1,456,0.322435
2,460,0.322426
3,448,0.330972
4,451,0.325889
5,462,0.330428
6,465,0.322586
7,437,0.321155
8,460,0.322978
9,453,0.326651
10,454,0.322825
