Execucao,Valor,Tempo_s
1,8817,0.00263217
2,8817,0.00256925
3,8817,0.00241688
4,8817,0.00258114
5,9147,0.0024773
6,8817,0.00255739
7,8817,0.00245529
8,8817,0.00240354
9,8817,0.0024197
10,8817,0.00252398
