Execucao,Valor,Tempo_s
1,8911,0.054369
2,9147,0.0540328
3,9147,0.0550436
4,8940,0.0539132
5,9147,0.0546705
6,9147,0.0550222
7,8817,0.054744
8,8990,0.0539437
9,8911,0.0542267
10,9147,0.0545842
